id,evaluation_date,year,phase,student_idil,first_name,last_name,gender,date_of_birth,age_at_evaluation,class,school_name,city,neighborhood,special_education_status,iep_exists,main_disability,secondary_disability,current_programs,years_in_programs,socioeconomic_status,number_of_siblings,social_competence_1,social_competence_2,social_competence_3,emotional_regulation_1,emotional_regulation_2,emotional_regulation_3,learning_motivation_1,learning_motivation_2,learning_motivation_3,cognitive_skills_1,cognitive_skills_2,cognitive_skills_3,additional_comments,evaluator_name,evaluator_role,full_name
de4a45cc-2d70-4adc-81f5-81421353fa0b,2021-09-23 00:00:00,2021,3,1113,לוסי,ואן פלט,בת,2012-03-15,9,א,בית ספר יסודי כרמל,חיפה,מערב,true,true,אוטיזם ברמה נמוכה,,"[""חוג רובוטיקה"", ""קבוצת כישורים חברתיים"", ""סדנת אמנות טיפולית""]",0,3,2,2,1,2,3,3,3,3,1,2,2,2,3,זקוק לתמיכה נוספת בתחום החברתי,מיכל דוד,מחנכת,לוסי ואן פלט
f5fa0e69-ce85-4857-a992-d8aae47b7ca5,2022-09-25 00:00:00,2022,3,1113,לוסי,ואן פלט,בת,2012-03-15,10,א,בית ספר יסודי כרמל,חיפה,מרכז,true,true,אוטיזם ברמה נמוכה,,"[""חוג רובוטיקה"", ""קבוצת כישורים חברתיים"", ""סדנת אמנות טיפולית""]",0,4,2,3,3,1,1,2,1,3,1,2,1,2,1,משתתף באופן פעיל בכיתה,רחל כהן,מורה לחינוך מיוחד,לוסי ואן פלט
d26435d8-78a3-412b-8f4f-f5de9f1ef924,2023-09-01 00:00:00,2023,3,1113,לוסי,ואן פלט,בת,2012-03-15,11,א,בית ספר יסודי שקד,חיפה,מזרח,true,true,אוטיזם ברמה נמוכה,,"[""חוג רובוטיקה"", ""קבוצת כישורים חברתיים"", ""סדנת אמנות טיפולית""]",1,9,4,2,4,3,2,4,3,3,3,3,4,3,3,זקוק לתמיכה נוספת בתחום החברתי,רחל כהן,מחנכת,לוסי ואן פלט
b5331358-8c79-4573-9ae9-750a844a84e8,2024-09-21 00:00:00,2024,4,1113,לוסי,ואן פלט,בת,2012-03-15,12,א,בית ספר יסודי אופק,חיפה,דרום,true,true,אוטיזם ברמה נמוכה,,"[""חוג רובוטיקה"", ""קבוצת כישורים חברתיים"", ""סדנת אמנות טיפולית""]",2,2,1,3,3,5,5,5,3,4,3,3,5,3,3,מגלה יכולות מנהיגות,יוסי אברהם,יועץ חינוכי,לוסי ואן פלט
3eddf424-f6ed-4208-93c4-904ce7c6d00b,2021-09-20 00:00:00,2021,3,1114,שרדר,בטהובן,בן,2013-06-30,8,א,בית ספר יסודי ברושים,ירושלים,מערב,true,false,לקות למידה,קשיי התנהגות,"[""סדנת אמנות טיפולית"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",1,4,4,2,3,1,3,3,2,2,3,1,1,3,3,משתתף באופן פעיל בכיתה,דנה שרון,מחנכת,שרדר בטהובן
7ef8d948-82b9-4d1a-902d-e3db4a633651,2022-10-26 00:00:00,2022,2,1114,שרדר,בטהובן,בן,2013-06-30,9,א,בית ספר יסודי שקד,ירושלים,מזרח,true,false,לקות למידה,קשיי התנהגות,"[""סדנת אמנות טיפולית"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",2,6,1,1,2,3,1,3,3,3,2,1,1,3,2,זקוק לתמיכה נוספת בתחום החברתי,יוסי אברהם,מורה לחינוך מיוחד,שרדר בטהובן
e645d415-8d0b-41f1-a049-d5f319a7e764,2023-10-26 00:00:00,2023,2,1114,שרדר,בטהובן,בן,2013-06-30,10,א,בית ספר יסודי ברושים,ירושלים,מזרח,true,false,לקות למידה,קשיי התנהגות,"[""סדנת אמנות טיפולית"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",2,1,0,3,2,2,2,3,3,3,4,4,4,2,3,מגלה יכולות מנהיגות,משה לוי,יועץ חינוכי,שרדר בטהובן
20bd0525-ea9a-49f9-baba-44c65d942e53,2024-10-10 00:00:00,2024,2,1114,שרדר,בטהובן,בן,2013-06-30,11,א,בית ספר יסודי שקד,ירושלים,דרום,true,false,לקות למידה,קשיי התנהגות,"[""סדנת אמנות טיפולית"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",3,7,0,3,5,4,3,5,5,4,3,4,5,4,3,מתקשה בעבודה קבוצתית,מיכל דוד,מחנכת,שרדר בטהובן
c19237dd-88cc-4fcc-8073-8dddef755a0f,2021-10-04 00:00:00,2021,1,1118,ויולט,גריי,בת,2012-04-14,9,א,בית ספר יסודי שקד,נתניה,מזרח,true,true,אוטיזם ברמה נמוכה,,"[""קבוצת קריאה מתקדמת"", ""תוכנית מנהיגות צעירה""]",1,9,2,2,3,2,3,2,2,1,1,3,2,2,2,זקוק לתמיכה נוספת בתחום החברתי,מיכל דוד,מחנכת,ויולט גריי
f13e86e0-c1ba-4931-9821-0ca1b389f5db,2022-09-20 00:00:00,2022,2,1118,ויולט,גריי,בת,2012-04-14,10,א,בית ספר יסודי כרמל,נתניה,דרום,true,true,אוטיזם ברמה נמוכה,,"[""קבוצת קריאה מתקדמת"", ""תוכנית מנהיגות צעירה""]",2,9,1,1,1,2,3,2,1,3,1,2,2,1,2,זקוק לתמיכה נוספת בתחום החברתי,משה לוי,מחנכת,ויולט גריי
11e68217-1ae0-46be-ab19-bf0a5782e50e,2023-10-28 00:00:00,2023,3,1118,ויולט,גריי,בת,2012-04-14,11,א,בית ספר יסודי אופק,נתניה,מזרח,true,true,אוטיזם ברמה נמוכה,,"[""קבוצת קריאה מתקדמת"", ""תוכנית מנהיגות צעירה""]",2,10,3,3,3,2,2,4,2,2,4,4,2,2,2,מתקדם באופן עקבי בכל התחומים,משה לוי,מחנכת,ויולט גריי
b8942971-6d0b-4541-bf17-45d143d7b09a,2024-10-22 00:00:00,2024,1,1118,ויולט,גריי,בת,2012-04-14,12,א,בית ספר יסודי אופק,נתניה,מזרח,true,true,אוטיזם ברמה נמוכה,,"[""קבוצת קריאה מתקדמת"", ""תוכנית מנהיגות צעירה""]",2,3,2,3,3,5,3,3,5,3,4,5,5,4,3,זקוק לתמיכה נוספת בתחום החברתי,דנה שרון,פסיכולוגית בית הספר,ויולט גריי
c35134c5-8c74-45ca-905b-992a3ab9ade8,2021-09-18 00:00:00,2021,2,1119,שרלין,בראון,בת,2017-12-01,4,א,בית ספר יסודי ברושים,תל אביב,מערב,true,true,חרדה,,"[""סדנת אמנות טיפולית""]",0,9,0,2,2,2,3,1,2,2,1,1,3,3,1,מראה שיפור משמעותי במוטיבציה ללמידה,יוסי אברהם,מחנכת,שרלין בראון
ff2c8129-056d-4054-a0a6-e610da14b7a9,2022-09-26 00:00:00,2022,4,1119,שרלין,בראון,בת,2017-12-01,5,א,בית ספר יסודי ברושים,תל אביב,צפון,true,true,חרדה,,"[""סדנת אמנות טיפולית""]",0,5,2,3,2,3,2,3,1,3,1,2,1,1,1,מתקשה בעבודה קבוצתית,רחל כהן,פסיכולוגית בית הספר,שרלין בראון
75017cde-7f8e-4683-9d0b-f14b60fb4664,2023-10-23 00:00:00,2023,1,1119,שרלין,בראון,בת,2017-12-01,6,א,בית ספר יסודי רימון,תל אביב,מרכז,true,true,חרדה,,"[""סדנת אמנות טיפולית""]",1,9,1,3,4,2,2,2,4,2,4,4,2,4,2,מתקדם באופן עקבי בכל התחומים,משה לוי,מורה לחינוך מיוחד,שרלין בראון
f89a76fd-37ac-48f7-a3ef-b4ee2c88ba9f,2024-10-12 00:00:00,2024,2,1119,שרלין,בראון,בת,2017-12-01,7,א,בית ספר יסודי כרמל,תל אביב,מזרח,true,true,חרדה,,"[""סדנת אמנות טיפולית""]",1,10,2,4,5,5,5,4,5,5,4,3,4,3,3,מתקשה בעבודה קבוצתית,רחל כהן,מחנכת,שרלין בראון
770469b1-b990-418c-8d30-edc0d0755c6a,2021-09-06 00:00:00,2021,1,2112,סטן,מארש,בן,2014-10-19,7,ג,בית ספר יסודי ברושים,חולון,צפון,false,false,,,"[""קבוצת כישורים חברתיים"", ""תגבור מתמטיקה""]",0,2,3,3,1,2,2,1,2,2,3,2,3,2,3,מגלה יכולות מנהיגות,רחל כהן,מחנכת,סטן מארש
c56a7ffd-afb7-49d7-ae2e-cb43bae63b59,2022-10-26 00:00:00,2022,1,2112,סטן,מארש,בן,2014-10-19,8,ג,בית ספר יסודי כרמל,חולון,מרכז,false,false,,,"[""קבוצת כישורים חברתיים"", ""תגבור מתמטיקה""]",1,3,1,1,1,2,1,3,1,2,3,1,2,3,2,משתתף באופן פעיל בכיתה,דנה שרון,מורה לחינוך מיוחד,סטן מארש
aa323dc4-d1df-42b8-824c-b13c141feeb5,2023-10-09 00:00:00,2023,3,2112,סטן,מארש,בן,2014-10-19,9,ג,בית ספר יסודי שקד,חולון,צפון,false,false,,,"[""קבוצת כישורים חברתיים"", ""תגבור מתמטיקה""]",2,7,4,2,4,4,4,4,2,2,4,2,4,2,2,זקוק לתמיכה נוספת בתחום החברתי,דנה שרון,מחנכת,סטן מארש
032abdbf-961c-4ef9-8f16-0e679ad49841,2024-10-18 00:00:00,2024,3,2112,סטן,מארש,בן,2014-10-19,10,ג,בית ספר יסודי כרמל,חולון,דרום,false,false,,,"[""קבוצת כישורים חברתיים"", ""תגבור מתמטיקה""]",2,4,3,3,4,4,5,3,3,4,3,3,5,3,3,זקוק לתמיכה נוספת בתחום החברתי,רחל כהן,מחנכת,סטן מארש
b7b12a52-e427-4421-8328-58144bc7f1bc,2021-10-28 00:00:00,2021,4,1115,פיגפן,פטי,בן,2012-11-30,9,א,בית ספר יסודי ברושים,באר שבע,מזרח,false,false,,,"[""קבוצת קריאה מתקדמת"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",0,10,1,1,1,2,1,1,2,1,1,3,3,3,3,מתקדם באופן עקבי בכל התחומים,דנה שרון,יועץ חינוכי,פיגפן פטי
3e6dae9b-eb68-42ea-bd14-61899455e496,2022-09-13 00:00:00,2022,1,1115,פיגפן,פטי,בן,2012-11-30,10,א,בית ספר יסודי ברושים,באר שבע,מערב,false,false,,,"[""קבוצת קריאה מתקדמת"", ""תגבור מתמטיקה"", ""תוכנית מנהיגות צעירה""]",1,2,1,2,3,1,2,3,3,3,3,3,3,2,3,זקוק לתמיכה נוספת בתחום החברתי,יוסי אברהם,מחנכת,פיגפן פטי
